Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
Lambda,floatoperations-512,109,2,15000.0,18316.348729877296,173.47168922424316,58678.35760116577,0.0,1.8560391327416461,0.034055763903516445,15000,38000,39000,39000,41000,41000,44000,44000,59000,59000,59000
,Aggregated,109,2,15000.0,18316.348729877296,173.47168922424316,58678.35760116577,0.0,1.8560391327416461,0.034055763903516445,15000,38000,39000,39000,41000,41000,44000,44000,59000,59000,59000
