Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
Lambda,floatoperations-512,64,0,340.0,352.52105817198753,160.0029468536377,1465.7261371612549,0.0,0.5469835125489279,0.0,340,370,390,390,430,500,860,1500,1500,1500,1500
,Aggregated,64,0,340.0,352.52105817198753,160.0029468536377,1465.7261371612549,0.0,0.5469835125489279,0.0,340,370,390,390,430,500,860,1500,1500,1500,1500
