Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774042323,1,,Aggregated,0.600000,0.000000,350,380,410,410,560,1500,1500,1500,1500,1500,1500,16,0,330.0,402.4624973535538,204.4835090637207,1465.7261371612549,0.0
1774042324,1,,Aggregated,0.600000,0.000000,350,380,410,410,560,1500,1500,1500,1500,1500,1500,16,0,330.0,402.4624973535538,204.4835090637207,1465.7261371612549,0.0
1774042325,1,,Aggregated,0.600000,0.000000,330,380,390,410,560,1500,1500,1500,1500,1500,1500,17,0,330.0,396.7693973990048,204.4835090637207,1465.7261371612549,0.0
1774042326,1,,Aggregated,0.500000,0.000000,340,360,390,410,560,1500,1500,1500,1500,1500,1500,18,0,330.0,393.5845957862006,204.4835090637207,1465.7261371612549,0.0
1774042327,1,,Aggregated,0.500000,0.000000,340,360,390,410,560,1500,1500,1500,1500,1500,1500,18,0,330.0,393.5845957862006,204.4835090637207,1465.7261371612549,0.0
1774042328,1,,Aggregated,0.600000,0.000000,340,370,390,410,560,1500,1500,1500,1500,1500,1500,19,0,340.0,392.16774388363484,204.4835090637207,1465.7261371612549,0.0
1774042329,1,,Aggregated,0.600000,0.000000,340,370,390,410,560,1500,1500,1500,1500,1500,1500,19,0,340.0,392.16774388363484,204.4835090637207,1465.7261371612549,0.0
1774042330,1,,Aggregated,0.500000,0.000000,340,370,390,410,560,1500,1500,1500,1500,1500,1500,20,0,330.0,380.559504032135,160.0029468536377,1465.7261371612549,0.0
1774042332,1,,Aggregated,0.500000,0.000000,340,370,390,410,560,1500,1500,1500,1500,1500,1500,20,0,330.0,380.559504032135,160.0029468536377,1465.7261371612549,0.0
1774042333,1,,Aggregated,0.500000,0.000000,330,360,380,390,500,560,1500,1500,1500,1500,1500,21,0,330.0,375.5671523866199,160.0029468536377,1465.7261371612549,0.0
1774042334,1,,Aggregated,0.500000,0.000000,330,360,380,390,500,560,1500,1500,1500,1500,1500,21,0,330.0,375.5671523866199,160.0029468536377,1465.7261371612549,0.0
1774042335,1,,Aggregated,0.500000,0.000000,340,370,380,390,500,560,1500,1500,1500,1500,1500,22,0,330.0,375.4159645600752,160.0029468536377,1465.7261371612549,0.0
1774042336,1,,Aggregated,0.500000,0.000000,340,370,380,390,500,560,1500,1500,1500,1500,1500,22,0,330.0,375.4159645600752,160.0029468536377,1465.7261371612549,0.0
1774042337,1,,Aggregated,0.500000,0.000000,340,370,380,390,500,560,1500,1500,1500,1500,1500,23,0,340.0,375.6431185680887,160.0029468536377,1465.7261371612549,0.0
1774042338,1,,Aggregated,0.500000,0.000000,340,370,380,390,500,560,1500,1500,1500,1500,1500,23,0,340.0,375.6431185680887,160.0029468536377,1465.7261371612549,0.0
1774042339,1,,Aggregated,0.500000,0.000000,340,370,380,390,500,560,1500,1500,1500,1500,1500,24,0,330.0,371.54385447502136,160.0029468536377,1465.7261371612549,0.0
1774042340,1,,Aggregated,0.500000,0.000000,340,370,380,390,500,560,1500,1500,1500,1500,1500,25,0,340.0,371.77589416503906,160.0029468536377,1465.7261371612549,0.0
1774042341,1,,Aggregated,0.500000,0.000000,340,370,380,390,500,560,1500,1500,1500,1500,1500,25,0,340.0,371.77589416503906,160.0029468536377,1465.7261371612549,0.0
1774042342,1,,Aggregated,0.500000,0.000000,350,380,380,390,500,560,1500,1500,1500,1500,1500,26,0,340.0,373.8586444121141,160.0029468536377,1465.7261371612549,0.0
1774042343,1,,Aggregated,0.500000,0.000000,340,370,380,390,500,560,1500,1500,1500,1500,1500,27,0,340.0,371.40222832008646,160.0029468536377,1465.7261371612549,0.0
1774042344,1,,Aggregated,0.500000,0.000000,340,370,380,390,500,560,1500,1500,1500,1500,1500,27,0,340.0,371.40222832008646,160.0029468536377,1465.7261371612549,0.0
1774042345,1,,Aggregated,0.500000,0.000000,340,370,380,390,500,560,1500,1500,1500,1500,1500,28,0,330.0,365.77699865613664,160.0029468536377,1465.7261371612549,0.0
1774042346,1,,Aggregated,0.500000,0.000000,340,370,380,390,500,560,1500,1500,1500,1500,1500,28,0,330.0,365.77699865613664,160.0029468536377,1465.7261371612549,0.0
1774042347,1,,Aggregated,0.600000,0.000000,340,370,380,390,500,560,1500,1500,1500,1500,1500,29,0,340.0,365.06376595332705,160.0029468536377,1465.7261371612549,0.0
1774042348,1,,Aggregated,0.600000,0.000000,350,370,380,410,500,560,1500,1500,1500,1500,1500,30,0,340.0,367.27012793223065,160.0029468536377,1465.7261371612549,0.0
1774042349,1,,Aggregated,0.600000,0.000000,350,370,380,410,500,560,1500,1500,1500,1500,1500,30,0,340.0,367.27012793223065,160.0029468536377,1465.7261371612549,0.0
1774042350,1,,Aggregated,0.600000,0.000000,340,370,380,390,430,560,1500,1500,1500,1500,1500,31,0,340.0,365.4852836362777,160.0029468536377,1465.7261371612549,0.0
1774042351,1,,Aggregated,0.600000,0.000000,340,370,380,390,430,560,1500,1500,1500,1500,1500,31,0,340.0,365.4852836362777,160.0029468536377,1465.7261371612549,0.0
1774042352,1,,Aggregated,0.600000,0.000000,340,370,380,390,430,560,1500,1500,1500,1500,1500,31,0,340.0,365.4852836362777,160.0029468536377,1465.7261371612549,0.0
1774042353,1,,Aggregated,0.600000,0.000000,340,370,380,390,430,560,1500,1500,1500,1500,1500,32,0,330.0,362.97377198934555,160.0029468536377,1465.7261371612549,0.0
1774042354,1,,Aggregated,0.600000,0.000000,340,370,380,390,430,560,1500,1500,1500,1500,1500,32,0,330.0,362.97377198934555,160.0029468536377,1465.7261371612549,0.0
1774042355,1,,Aggregated,0.500000,0.000000,330,370,380,390,430,560,1500,1500,1500,1500,1500,33,0,330.0,360.36797003312546,160.0029468536377,1465.7261371612549,0.0
1774042356,1,,Aggregated,0.500000,0.000000,330,370,380,390,430,560,1500,1500,1500,1500,1500,33,0,330.0,360.36797003312546,160.0029468536377,1465.7261371612549,0.0
1774042357,1,,Aggregated,0.500000,0.000000,340,370,380,390,430,560,1500,1500,1500,1500,1500,34,0,330.0,361.3211828119615,160.0029468536377,1465.7261371612549,0.0
1774042358,1,,Aggregated,0.500000,0.000000,340,370,380,390,430,560,1500,1500,1500,1500,1500,35,0,340.0,361.63345064435686,160.0029468536377,1465.7261371612549,0.0
1774042359,1,,Aggregated,0.500000,0.000000,340,370,380,390,430,560,1500,1500,1500,1500,1500,35,0,340.0,361.63345064435686,160.0029468536377,1465.7261371612549,0.0
1774042360,1,,Aggregated,0.500000,0.000000,350,370,390,390,460,560,1500,1500,1500,1500,1500,36,0,340.0,364.4260432985094,160.0029468536377,1465.7261371612549,0.0
1774042361,1,,Aggregated,0.500000,0.000000,350,370,390,390,460,560,1500,1500,1500,1500,1500,36,0,340.0,364.4260432985094,160.0029468536377,1465.7261371612549,0.0
1774042362,1,,Aggregated,0.600000,0.000000,350,380,390,390,460,560,1500,1500,1500,1500,1500,37,0,350.0,365.20175676088076,160.0029468536377,1465.7261371612549,0.0
1774042363,1,,Aggregated,0.600000,0.000000,350,380,390,390,460,560,1500,1500,1500,1500,1500,37,0,350.0,365.20175676088076,160.0029468536377,1465.7261371612549,0.0
1774042364,1,,Aggregated,0.500000,0.000000,350,380,390,390,460,560,1500,1500,1500,1500,1500,38,0,340.0,360.1594786894949,160.0029468536377,1465.7261371612549,0.0
1774042365,1,,Aggregated,0.500000,0.000000,350,380,390,390,460,560,1500,1500,1500,1500,1500,38,0,340.0,360.1594786894949,160.0029468536377,1465.7261371612549,0.0
1774042366,1,,Aggregated,0.500000,0.000000,340,370,390,390,460,560,1500,1500,1500,1500,1500,39,0,340.0,359.6325042920235,160.0029468536377,1465.7261371612549,0.0
